X, Y, Z, Vp
0.0, 0.0, 0.0, 5.5
5.0, 0.0, 0.0, 5.6
10.0, 0.0, 0.0, 5.7
15.0, 0.0, 0.0, 5.8
20.0, 0.0, 0.0, 5.9
0.0, 5.0, 0.0, 5.6
5.0, 5.0, 0.0, 5.8
10.0, 5.0, 0.0, 5.9
15.0, 5.0, 0.0, 6.0
20.0, 5.0, 0.0, 6.1
0.0, 10.0, 0.0, 5.7
5.0, 10.0, 0.0, 5.9
10.0, 10.0, 0.0, 6.0
15.0, 10.0, 0.0, 6.1
20.0, 10.0, 0.0, 6.2
0.0, 0.0, 5.0, 6.0
5.0, 0.0, 5.0, 6.2
10.0, 0.0, 5.0, 6.3
15.0, 0.0, 5.0, 6.4
20.0, 0.0, 5.0, 6.5
0.0, 5.0, 5.0, 6.1
5.0, 5.0, 5.0, 6.4
10.0, 5.0, 5.0, 6.5
15.0, 5.0, 5.0, 6.6
20.0, 5.0, 5.0, 6.7
0.0, 10.0, 5.0, 6.2
5.0, 10.0, 5.0, 6.5
10.0, 10.0, 5.0, 6.6
15.0, 10.0, 5.0, 6.7
20.0, 10.0, 5.0, 6.8
0.0, 0.0, 10.0, 6.5
5.0, 0.0, 10.0, 6.7
10.0, 0.0, 10.0, 6.8
15.0, 0.0, 10.0, 6.9
20.0, 0.0, 10.0, 7.0
0.0, 5.0, 10.0, 6.6
5.0, 5.0, 10.0, 6.9
10.0, 5.0, 10.0, 7.0
15.0, 5.0, 10.0, 7.1
20.0, 5.0, 10.0, 7.2
0.0, 10.0, 10.0, 6.7
5.0, 10.0, 10.0, 7.0
10.0, 10.0, 10.0, 7.1
15.0, 10.0, 10.0, 7.2
20.0, 10.0, 10.0, 7.3
