Lat, Lon, Depth, Vp
-11.0, 95.0, 0.0, 5.5
-11.0, 95.0, 10.0, 6.0
-11.0, 95.0, 20.0, 6.5
-11.0, 95.0, 30.0, 7.0
-11.0, 95.0, 40.0, 7.5
-11.0, 95.0, 50.0, 8.0
-11.0, 100.0, 0.0, 5.6
-11.0, 100.0, 10.0, 6.1
-11.0, 100.0, 20.0, 6.6
-11.0, 100.0, 30.0, 7.1
-11.0, 100.0, 40.0, 7.6
-11.0, 100.0, 50.0, 8.1
-6.0, 95.0, 0.0, 5.7
-6.0, 95.0, 10.0, 6.2
-6.0, 95.0, 20.0, 6.7
-6.0, 95.0, 30.0, 7.2
-6.0, 95.0, 40.0, 7.7
-6.0, 95.0, 50.0, 8.2
-6.0, 100.0, 0.0, 5.8
-6.0, 100.0, 10.0, 6.3
-6.0, 100.0, 20.0, 6.8
-6.0, 100.0, 30.0, 7.3
-6.0, 100.0, 40.0, 7.8
-6.0, 100.0, 50.0, 8.3
-1.0, 95.0, 0.0, 5.9
-1.0, 95.0, 10.0, 6.4
-1.0, 95.0, 20.0, 6.9
-1.0, 95.0, 30.0, 7.4
-1.0, 95.0, 40.0, 7.9
-1.0, 95.0, 50.0, 8.4
-1.0, 100.0, 0.0, 6.0
-1.0, 100.0, 10.0, 6.5
-1.0, 100.0, 20.0, 7.0
-1.0, 100.0, 30.0, 7.5
-1.0, 100.0, 40.0, 8.0
-1.0, 100.0, 50.0, 8.5
